name,price,category,subcategory,image,description,,,
Mango Juice,100,Fresh Juices,Juices,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Freshly squeezed mango juice rich in vitamins.,,,
Apple Juice,70,Fresh Juices,Juices,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Refreshing and healthy fresh apple juice.,,,
Orange Juice,70,Fresh Juices,Juices,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Citrusy and revitalizing fresh orange juice.,,,
Mosambi Juice,70,Fresh Juices,Juices,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Sweet and tangy fresh sweet lime juice.,,,
Grape Juice,70,Fresh Juices,Juices,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Antioxidant-rich fresh grape juice.,,,
Watermelon Juice,70,Fresh Juices,Juices,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Hydrating fresh watermelon juice perfect for summer.,,,
Muskmelon Juice,70,Fresh Juices,Juices,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Sweet and aromatic fresh muskmelon juice.,,,
Papaya Juice,70,Fresh Juices,Juices,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Nutrient-dense fresh papaya juice.,,,
Pomegranate Juice,160,Fresh Juices,Juices,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Rich and tangy fresh pomegranate juice.,,,
Pineapple Juice,100,Fresh Juices,Juices,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Tropical and zesty fresh pineapple juice.,,,
Kiwi Juice,150,Fresh Juices,Juices,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Tangy and vitamin-packed fresh kiwi juice.,,,
Dragon Fruit Juice,150,Fresh Juices,Juices,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Exotic and refreshing dragon fruit juice.,,,
Strawberry Juice,160,Fresh Juices,Juices,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Sweet and berry-filled fresh strawberry juice.,,,
Carrot Juice,80,Fresh Juices,Juices,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Healthy and vibrant fresh carrot juice.,,,
Beet root Juice,80,Fresh Juices,Juices,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Earthy and nutritious fresh beetroot juice.,,,
ABC Juice,140,Fresh Juices,Juices,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Healthy blend of Amla,Apple,Carrot,and Beetroot.
ABC with Ginger,140,Fresh Juices,Juices,C:\Users\Mohan\Downloads\kajuanjeer.jpg,ABC juice infused with a spicy ginger kick.,,,
Cocktail Special,160,Fresh Juices,Juices,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Mixed blend of Mango,Strawberry,Banana/Kiwi,and Apple.
Anarkali,180,Fresh Juices,Mix Fruit Blend,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Delicious blend of Pomegranate and Kiwi.,,,
Kiwi Cooler,160,Fresh Juices,Mix Fruit Blend,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Refreshing mix of Kiwi,Orange,and Pineapple.,
Watermelon Sunrise,130,Fresh Juices,Mix Fruit Blend,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Cooling blend of Orange,Mint,and Watermelon.,
Detox Blend,150,Fresh Juices,Mix Fruit Blend,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Cleansing mix of Orange,Ginger,and Pineapple.,
Immunity Booster,140,Fresh Juices,Mix Fruit Blend,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Healthy mix of Pineapple,Grape,and Apple.,
Maramari,100,Fresh Juices,Mix Fruit Blend,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Tangy blend of Pineapple and Mosambi.,,,
Vegetable Juice,100,Fresh Juices,Mix Fruit Blend,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Nutritious mix of Carrot,Beetroot,and Cucumber.,
Refreshing Harmony,120,Fresh Juices,Mix Fruit Blend,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Zesty blend of Orange,Ginger,and Muskmelon.,
Island Breeze,150,Fresh Juices,Mix Fruit Blend,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Tropical mix of Orange,Mango,and Pineapple.,
Vitamin C,120,Fresh Juices,Mix Fruit Blend,C:\Users\Mohan\Downloads\kajuanjeer.jpg,C-packed blend of Tomato,Carrot,and Beetroot.,
Ganga Jamuna Saraswathi,120,Fresh Juices,Mix Fruit Blend,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Classic trio blend of Orange,Mosambi,and Pineapple.,
Ganga Jamuna,100,Fresh Juices,Mix Fruit Blend,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Citrus blend of Orange and Mosambi.,,,
Tropical Trio,180,Fresh Juices,Mix Fruit Blend,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Exotic blend of Mango,Kiwi,and Strawberry.,
Pineapple Coconut Refresher,140,Fresh Juices,Mix Fruit Blend,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Pineapple blended with fresh Tender Coconut Water.,,,
Citrus Coconut Refresher,140,Fresh Juices,Mix Fruit Blend,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Citrus fruits blended with Tender Coconut Water.,,,
Zero Size Drink,140,Fresh Juices,Mix Fruit Blend,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Weight-friendly blend of Cucumber,Pineapple,and Coconut water.,
CarrOnge,130,Fresh Juices,Mix Fruit Blend,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Healthy mix of Carrot and Orange.,,,
Apple Milkshake,100,Milk Shakes,Fruit Milk Shakes,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Creamy milkshake made with fresh apples.,,,
Avocado Milkshake,180,Milk Shakes,Fruit Milk Shakes,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Rich and creamy avocado milkshake.,,,
Kiwi Milkshake,150,Milk Shakes,Fruit Milk Shakes,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Tangy and sweet kiwi milkshake.,,,
Sithaphal Milkshake,160,Milk Shakes,Fruit Milk Shakes,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Seasonal custard apple milkshake.,,,
Mango Milkshake,100,Milk Shakes,Fruit Milk Shakes,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Classic creamy mango milkshake.,,,
Kannur Cocktail Milkshake,120,Milk Shakes,Fruit Milk Shakes,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Unique blend of Papaya and Carrot.,,,
Dragon Fruit Milk shake,150,Milk Shakes,Fruit Milk Shakes,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Exotic dragon fruit blended with milk.,,,
Strawberry Milkshake,150,Milk Shakes,Fruit Milk Shakes,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Sweet pink strawberry milkshake.,,,
Cocktail Milkshake,100,Milk Shakes,Fruit Milk Shakes,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Fruit mix of Apple,Pineapple,and Grape.,
Tender coconut milkshake,100,Milk Shakes,Fruit Milk Shakes,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Refreshing tender coconut blended with milk.,,,
Sapota Milkshake,80,Milk Shakes,Fruit Milk Shakes,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Sweet and malty sapota milkshake.,,,
Muskmelon Milkshake,70,Milk Shakes,Fruit Milk Shakes,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Fresh muskmelon blended into a shake.,,,
Banana Milkshake,70,Milk Shakes,Fruit Milk Shakes,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Classic energy-boosting banana milkshake.,,,
Carrot Milkshake,80,Milk Shakes,Fruit Milk Shakes,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Healthy carrot blended milkshake.,,,
Papaya Milkshake,70,Milk Shakes,Fruit Milk Shakes,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Smooth papaya blended with milk.,,,
Sapota and Banana Milkshake,100,Milk Shakes,Fruit Milk Shakes,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Combo shake with Sapota and Banana.,,,
Pomegranate Milkshake,110,Milk Shakes,Fruit Milk Shakes,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Pink pomegranate blended milkshake.,,,
Avocado Banana Smoothie,170,Smoothies,Classic Smoothie(no Sugar),C:\Users\Mohan\Downloads\kajuanjeer.jpg,Sugar-free smoothie with Avocado and Banana.,,,
Dry Fruit Smoothie,180,Smoothies,Classic Smoothie(no Sugar),C:\Users\Mohan\Downloads\kajuanjeer.jpg,Energy-packed dry fruit smoothie without sugar.,,,
Break Fast Smoothie,150,Smoothies,Classic Smoothie(no Sugar),C:\Users\Mohan\Downloads\kajuanjeer.jpg,Wholesome blend of Oats,Apple,Banana,and Dates.
Carrot Banana Smoothie,130,Smoothies,Classic Smoothie(no Sugar),C:\Users\Mohan\Downloads\kajuanjeer.jpg,Healthy carrot and banana blend.,,,
Apple Banana Smoothie,150,Smoothies,Classic Smoothie(no Sugar),C:\Users\Mohan\Downloads\kajuanjeer.jpg,Classic apple and banana smoothie.,,,
Peanut Butter Smoothie,180,Smoothies,Classic Smoothie(no Sugar),C:\Users\Mohan\Downloads\kajuanjeer.jpg,Protein-rich peanut butter smoothie.,,,
Mango Banana Smoothie,180,Smoothies,Classic Smoothie(no Sugar),C:\Users\Mohan\Downloads\kajuanjeer.jpg,Tropical mango and banana smoothie.,,,
Kiwi Blend Smoothie,160,Smoothies,Classic Smoothie(no Sugar),C:\Users\Mohan\Downloads\kajuanjeer.jpg,Tangy kiwi based smoothie.,,,
Strawberry Smoothie,160,Smoothies,Classic Smoothie(no Sugar),C:\Users\Mohan\Downloads\kajuanjeer.jpg,Berry delicious strawberry smoothie.,,,
Pine Apple Smoothie,130,Smoothies,Classic Smoothie(no Sugar),C:\Users\Mohan\Downloads\kajuanjeer.jpg,Zesty pineapple smoothie.,,,
Sapota Banana Smoothie,150,Smoothies,Classic Smoothie(no Sugar),C:\Users\Mohan\Downloads\kajuanjeer.jpg,Sweet sapota and banana blend.,,,
Malabar Avil Milk,120,Kerala Specials,Avil Milks,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Traditional Kerala drink with flakes and banana.,,,
Dry Fruit Avil Milk,160,Kerala Specials,Avil Milks,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Avil milk loaded with dry fruits.,,,
Fruit N Nut Avil Milk,150,Kerala Specials,Avil Milks,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Crunchy and fruity Avil milk.,,,
Tender Coconut Avil Milk,150,Kerala Specials,Avil Milks,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Avil milk with tender coconut twist.,,,
Zero Sugar Avil Milk,130,Kerala Specials,Avil Milks,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Healthy sugar-free version of Avil milk.,,,
Mumbai Special Falooda,190,Falooda Specials,Falooda,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Rich falooda style from Mumbai.,,,
Dry Fruit Falooda,170,Falooda Specials,Falooda,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Falooda loaded with crunchy dry fruits.,,,
Vanilla Falooda,150,Falooda Specials,Falooda,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Classic vanilla flavored falooda.,,,
Kesar Falooda,160,Falooda Specials,Falooda,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Saffron infused Kesar falooda.,,,
Butterscotch Falooda,150,Falooda Specials,Falooda,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Sweet butterscotch flavored falooda.,,,
Black Current Falooda,150,Falooda Specials,Falooda,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Tangy black currant falooda.,,,
Tender Cocont Falooda,150,Falooda Specials,Falooda,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Refreshing tender coconut falooda.,,,
Mango Falooda,150,Falooda Specials,Falooda,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Seasonal mango delight falooda.,,,
Chocolate Falooda,150,Falooda Specials,Falooda,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Rich chocolatey falooda.,,,
Strawberry Falooda,150,Falooda Specials,Falooda,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Berry flavored strawberry falooda.,,,
Mix Fruit Falooda,160,Falooda Specials,Falooda,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Falooda with mixed fresh fruits.,,,
Kulfi Falooda,160,Falooda Specials,Falooda,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Traditional Kulfi served with falooda.,,,
Rose Falooda,120,Falooda Specials,Falooda,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Aromatic rose flavored falooda.,,,
Dates Falooda,140,Falooda Specials,Falooda,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Sweet dates infused falooda.,,,
Sharja Banana Milk Shake,110,Milk Shakes,Ice Cream Milk Shakes,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Thick banana shake with ice cream.,,,
Vanilla Shake,130,Milk Shakes,Ice Cream Milk Shakes,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Classic vanilla thick shake.,,,
Strawberry Shake,130,Milk Shakes,Ice Cream Milk Shakes,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Thick strawberry shake with ice cream.,,,
Chocolate Shake,130,Milk Shakes,Ice Cream Milk Shakes,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Rich chocolate thick shake.,,,
Butterscotch Shake,130,Milk Shakes,Ice Cream Milk Shakes,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Creamy butterscotch thick shake.,,,
Pista Shake,140,Milk Shakes,Ice Cream Milk Shakes,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Nutty pista thick shake.,,,
Kesar Pista Milkshake,150,Milk Shakes,Ice Cream Milk Shakes,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Saffron and pistachio blended shake.,,,
Black Currant Shake,140,Milk Shakes,Ice Cream Milk Shakes,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Berry rich black currant shake.,,,
Tender Coconut Shake,140,Milk Shakes,Ice Cream Milk Shakes,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Coconut thick shake with ice cream.,,,
Cold Coffee,120,Milk Shakes,Ice Cream Milk Shakes,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Chilled coffee beverage.,,,
Cold coffee with ice cream,130,Milk Shakes,Ice Cream Milk Shakes,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Cold coffee topped with ice cream.,,,
Oreo Milk Shake,130,Milk Shakes,Ice Cream Milk Shakes,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Crunchy Oreo cookie shake.,,,
Kitkat Shake,130,Milk Shakes,Ice Cream Milk Shakes,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Chocolaty KitKat bar shake.,,,
Rooh Afzah Shake,100,Milk Shakes,Ice Cream Milk Shakes,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Traditional cooling rose syrup shake.,,,
Rose Milkshake,100,Milk Shakes,Ice Cream Milk Shakes,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Classic rose flavored milkshake.,,,
Lotus Biscoff Shake,150,Milk Shakes,Ice Cream Milk Shakes,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Trendy Lotus Biscoff biscuit shake.,,,
Mix Fruit Falooda Cream,160,Falooda Specials,Creamy Falooda,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Creamy falooda with mixed fruits.,,,
Kesar Falooda Cream,170,Falooda Specials,Creamy Falooda,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Saffron flavored creamy falooda.,,,
Butterscotch Falooda Cream,160,Falooda Specials,Creamy Falooda,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Butterscotch flavored creamy falooda.,,,
Chocolate Falooda Cream,160,Falooda Specials,Creamy Falooda,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Chocolate flavored creamy falooda.,,,
Blackcurrant Falooda Cream,160,Falooda Specials,Creamy Falooda,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Blackcurrant flavored creamy falooda.,,,
Strawberry Falooda Cream,160,Falooda Specials,Creamy Falooda,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Strawberry flavored creamy falooda.,,,
Mango Falooda Cream,160,Falooda Specials,Creamy Falooda,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Mango flavored creamy falooda.,,,
Rose Falooda Cream,150,Falooda Specials,Creamy Falooda,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Rose flavored creamy falooda.,,,
Dates Milk Shake,140,Milk Shakes,Dry Fruit Milk Shake,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Healthy dates milkshake.,,,
Kesar Royal Milkshake,160,Milk Shakes,Dry Fruit Milk Shake,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Royal saffron milkshake.,,,
Dryfruit Milkshake (anjeer),170,Milk Shakes,Dry Fruit Milk Shake,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Fig (Anjeer) based dry fruit shake.,,,
Kaju Anjeer Milkshake,160,Milk Shakes,Dry Fruit Milk Shake,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Cashew and Fig milkshake.,,,
Kesar Badam Milkshake,150,Milk Shakes,Dry Fruit Milk Shake,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Saffron and Almond milkshake.,,,
Kaju Badam MilkShake,150,Milk Shakes,Dry Fruit Milk Shake,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Cashew and Almond milkshake.,,,
Kaju Milkshake,150,Milk Shakes,Dry Fruit Milk Shake,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Rich cashew milkshake.,,,
Badam Pista Milkshake,150,Milk Shakes,Dry Fruit Milk Shake,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Almond and Pistachio milkshake.,,,
Kesar Dry Fruit Cream,190,Delights,Creamy Dry Fruit Delight,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Saffron infused creamy dry fruits.,,,
BadamPista Cream,180,Delights,Creamy Dry Fruit Delight,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Almond and Pista cream delight.,,,
Dry Fruit Cream,180,Delights,Creamy Dry Fruit Delight,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Rich cream loaded with dry fruits.,,,
Kesar Badam Pista Cream,180,Delights,Creamy Dry Fruit Delight,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Saffron Almond and Pista cream.,,,
Anjeer Cream,170,Delights,Creamy Dry Fruit Delight,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Creamy delight with figs.,,,
Kaju Anjeer Cream,170,Delights,Creamy Dry Fruit Delight,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Cashew and fig cream blend.,,,
Mix Fruit Cream,160,Delights,Creamy Fruit Delight,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Fresh mixed fruits in cream.,,,
Avocado Cream,190,Delights,Creamy Fruit Delight,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Creamy avocado dessert.,,,
Mango Cream,180,Delights,Creamy Fruit Delight,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Fresh mango slices in cream.,,,
Custard Apple Cream (Sitaphal),180,Delights,Creamy Fruit Delight,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Seasonal custard apple cream.,,,
Chocolate Mix Fruit Cream,170,Delights,Creamy Fruit Delight,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Mixed fruits in chocolate cream.,,,
Nutella cream,170,Delights,Creamy Fruit Delight,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Rich Nutella creamy dessert.,,,
Strawbery Cream,180,Delights,Creamy Fruit Delight,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Fresh strawberries in cream.,,,
Dragon Fruit Cream,170,Delights,Creamy Fruit Delight,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Exotic dragon fruit cream.,,,
Kesar Mix Fruit Cream,180,Delights,Creamy Fruit Delight,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Saffron infused mixed fruit cream.,,,
Tender coconut cream,170,Delights,Creamy Fruit Delight,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Tender coconut chunks in cream.,,,
Lotus biscoff cream,160,Delights,Creamy Fruit Delight,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Lotus Biscoff flavored cream.,,,
Chocolate Cream,160,Delights,Creamy Fruit Delight,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Classic chocolate cream.,,,
kitkat Cream,170,Delights,Creamy Fruit Delight,C:\Users\Mohan\Downloads\kajuanjeer.jpg,KitKat chocolate cream.,,,
Kiwi Cream,170,Delights,Creamy Fruit Delight,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Fresh kiwi slices in cream.,,,
Kesar Custard Apple Cream,180,Delights,Creamy Fruit Delight,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Saffron custard apple cream.,,,
Chocolate Custard Apple Cream,170,Delights,Creamy Fruit Delight,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Chocolate custard apple cream.,,,
Apple Cream,160,Delights,Creamy Fruit Delight,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Fresh apple chunks in cream.,,,
Apple Banana Cream,150,Delights,Creamy Fruit Delight,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Apple and banana in cream.,,,
Chikku Cream,150,Delights,Creamy Fruit Delight,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Sweet sapota (chikku) cream.,,,
Banana Cream,130,Delights,Creamy Fruit Delight,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Sliced bananas in cream.,,,
Llla creamychee Cream,170,Delights,Creamy Fruit Delight,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Sweet lychee fruit cream.,,,
Plum Cream (Alu Bukhara),170,Delights,Creamy Fruit Delight,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Plum flavored cream delight.,,,
Nutella banana cream,170,Delights,Creamy Fruit Delight,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Nutella and banana combination.,,,
Rainbow Falooda,190,Falooda Specials,Ice Cream Falooda,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Colorful multi-layered falooda.,,,
Malabar Falooda,170,Falooda Specials,Ice Cream Falooda,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Traditional Malabar style falooda.,,,
Mango Kulfi Falooda,170,Falooda Specials,Ice Cream Falooda,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Mango Kulfi served with falooda.,,,
Butterscotch kulfi Falooda,170,Falooda Specials,Ice Cream Falooda,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Butterscotch Kulfi with falooda.,,,
Kesar Pista Falooda,170,Falooda Specials,Ice Cream Falooda,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Saffron Pista flavored falooda.,,,
Triple Falooda,180,Falooda Specials,Ice Cream Falooda,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Triple layered rich falooda.,,,
Classic Mint Mojito,120,Mojito Bar,The Mojito Bars,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Classic mint and lime refresher.,,,
Green Apple Fizz,120,Mojito Bar,The Mojito Bars,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Fizzy green apple drink.,,,
Blue Lagoon,120,Mojito Bar,The Mojito Bars,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Cool blue curacao mocktail.,,,
Fresh Lime Mojito,120,Mojito Bar,The Mojito Bars,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Zesty fresh lime mojito.,,,
Orange Crush,120,Mojito Bar,The Mojito Bars,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Crushed orange refreshing drink.,,,
Strawberry Bliss,120,Mojito Bar,The Mojito Bars,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Sweet strawberry mojito.,,,
Mango Mojito,120,Mojito Bar,The Mojito Bars,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Tropical mango flavored mojito.,,,
Rose Mojito,120,Mojito Bar,The Mojito Bars,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Floral rose flavored mojito.,,,
Rooh Afza Mojito,120,Mojito Bar,The Mojito Bars,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Traditional cooling Rooh Afza mojito.,,,
Rainbow Sundae with Fruits,230,Fruits&Scoops,Fruit And Scoops,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Colorful sundae with fresh fruits.,,,
Triple Sundae with Fruits,200,Fruits&Scoops,Fruit And Scoops,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Three scoop sundae with fruits.,,,
Mix Fruit with Ice Cream,150,Fruits&Scoops,Fruit And Scoops,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Mixed fruits topped with ice cream.,,,
Mango with Ice Cream,150,Fruits&Scoops,Fruit And Scoops,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Fresh mango with ice cream.,,,
Strawberry with Ice Cream,150,Fruits&Scoops,Fruit And Scoops,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Strawberries served with ice cream.,,,
Kiwi with Ice Cream,170,Fruits&Scoops,Fruit And Scoops,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Kiwi slices with ice cream.,,,
Jelly with Ice Cream,150,Fruits&Scoops,Fruit And Scoops,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Fun jelly topped with ice cream.,,,
Dry Fruit with Ice Cream,180,Fruits&Scoops,Fruit And Scoops,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Dry fruits served with ice cream.,,,
Dragon Fruit with Ice cream,150,Fruits&Scoops,Fruit And Scoops,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Dragon fruit with ice cream scoop.,,,
Mix Fruit Bowl,150,fruit bowls,Fruit Bowls,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Healthy bowl of mixed fresh fruits.,,,
Watermelon bowl,120,fruit bowls,Fruit Bowls,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Bowl of fresh watermelon chunks.,,,
Papaya bowl,120,fruit bowls,Fruit Bowls,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Bowl of fresh papaya cubes.,,,
Muskmelon bowl,120,fruit bowls,Fruit Bowls,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Bowl of sweet muskmelon pieces.,,,
Combo bowl,130,fruit bowls,Fruit Bowls,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Combination bowl of any 3 fruits.,,,
Mango Bowl,150,fruit bowls,Fruit Bowls,C:\Users\Mohan\Downloads\kajuanjeer.jpg,Bowl of fresh mango slices.,,,